20181110165649_Exit,20181110165649_Start,20181110165705_Exit,20181110165705_Start
20181111013922_Start,20181111134945_Start
20181112022722_Exit,20181112032057_Start,20181112032115_Exit,20181112080411_Start,20181112152145_Exit,20181112154515_Start
20181113012021_Exit,20181113012021_Start,20181113013640_Exit,20181113013640_Start,20181113105657_Exit,20181113105657_Start,20181113170607_Exit,20181113224925_Start
20181114155547_Exit,20181114163806_Start
20181115121438_Exit,20181115140044_Start




























































































































































































































































20181116084442_Start,20181116114851_Exit,20181116125327_Start,20181116172131_Exit,20181116204001_Start























































































































































































































































20181117143547_Start



































































































































































































































































20181118002540_Start,20181118010252_Exit,20181118015302_Start,20181118021512_Exit,20181118100107_Start,20181118143930_Exit,20181118152711_Start




















































































































































































































































































20181119113127_Start,20181119135045_Exit,20181119141653_Start
20181120015743_Exit,20181120015744_Start,20181120071136_Exit,20181120102332_Start,20181120133256_Exit,20181120133256_Start,20181120202138_Exit,20181120213314_Start






























































































































































































































































































20181121065728_Start,20181121120523_Exit,20181121120523_Start,20181121122654_Exit,20181121122655_Start,20181121125207_Exit,20181121125207_Start,20181121132617_Exit,20181121132617_Start,20181121191741_Exit,20181121191741_Start,20181121191826_Exit,20181121200251_Start,20181121224426_Exit,20181121224426_Start
20181122122228_Exit,20181122122229_Start,20181122164847_Exit,20181122170627_Start,20181122231731_Exit,20181122231738_Start



























































































































































































































































































20181123095733_Start,20181123223437_Exit,20181123231549_Start





















































































































































































































































20181124105009_Start,20181124131839_Exit,20181124134428_Start,20181124135157_Exit,20181124204259_Start

























































































































































































































































































20181125103622_Start,20181125135240_Exit,20181125204024_Start,20181125212455_Exit,20181125212456_Start







































































































































































































































































































20181126071318_Start,20181126185406_Exit,20181126185407_Start,20181126201027_Exit,20181126203846_Start
20181127022512_Exit,20181127022512_Start,20181127065509_Exit,20181127104735_Start,20181127140942_Exit,20181127164131_Start,20181127232054_Exit,20181127234736_Start

















































































































